callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1 ,altitude_1,latitude_2,longitude_2,altitude_2
SDM6415,nan,155c27,nan,nan,UUEE,nan,2022-02-01 06:31:39+00:00,2022-02-01 06:51:28+00:00,2022-02-01 00:00:00+00:00,55.97226934917902,37.40286827087402,304.8,54.32061767578125,38.14905503216912,10066.02
RWZ389,nan,155c34,nan,nan,UUDD,UWPS,2022-02-01 06:36:46+00:00,2022-02-01 07:27:55+00:00,2022-02-01 00:00:00+00:00,55.42295294292902,37.87020596590909,609.6,54.09063720703125,45.37565394810268,2720.34
LLM212,nan,155c00,nan,nan,nan,USSS,2022-02-01 06:38:14+00:00,2022-02-01 06:55:58+00:00,2022-02-01 00:00:00+00:00,58.20913696289062,62.06690634450605,10972.8,56.88011169433594,60.42420387268066,1493.52
SDM6377,nan,155c16,nan,nan,UUEE,nan,2022-02-01 06:39:09+00:00,2022-02-01 07:42:25+00:00,2022-02-01 00:00:00+00:00,55.96896414029396,37.38338470458984,609.6,57.34039306640625,50.04941940307617,10668.0
RWZ387,nan,155c39,nan,nan,UUDD,nan,2022-02-01 06:40:51+00:00,2022-02-01 06:56:58+00:00,2022-02-01 00:00:00+00:00,55.41811151019597,37.87586558948863,609.6,54.10015869140625,37.98507254464286,8229.6
LLM187,YC187,155c03,nan,nan,nan,nan,2022-02-01 06:49:37+00:00,2022-02-01 07:29:17+00:00,2022-02-01 00:00:00+00:00,58.3821390442929,64.11868286132812,10972.8,55.58871459960938,57.78242631392045,9928.86
SDM6479,nan,155bd4,RA-89044,SU95,UUEE,nan,2022-02-01 06:57:47+00:00,2022-02-01 07:15:26+00:00,2022-02-01 00:00:00+00:00,55.97101243875795,37.3960018157959,304.8,57.29736328125,37.14546203613281,9799.32
RWZ1258,nan,155c6b,nan,nan,UWKD,nan,2022-02-01 06:59:30+00:00,2022-02-01 07:50:57+00:00,2022-02-01 00:00:00+00:00,55.60515840174788,49.41229820251465,1524.0,55.40079407772775,60.08189808238636,4869.18
RWZ1454,nan,155c37,nan,nan,nan,USPP,2022-02-01 07:01:09+00:00,2022-02-01 08:25:49+00:00,2022-02-01 00:00:00+00:00,50.97591076867055,45.59333801269531,10058.4,57.926513671875,56.04471514301915,160.02
SSF152,D2152,155c1e,nan,nan,UUEE,nan,2022-02-01 07:02:22+00:00,2022-02-01 07:16:58+00:00,2022-02-01 00:00:00+00:00,55.96831240896451,37.39411354064941,304.8,57.02588614770922,37.25198068926412,8229.6
